KOD_SUKL;DATOD;DATDO;POVOL_BALENI;UCEL;PRACOVISTE;DISTRIBUTOR;POZNAMKA;PREDKLADATEL;VYROBCE
0231736;25.09.2023;30.09.2027;320;Léèba symptomatického botulismu po prokázané nebo pøedpokládané expozici botulinového neurotoxinu sérotypu A, B a E u dospìlıch a dìtí.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U nemocnice 2, 128 08 Praha 2;"Wytwórnia Surowic i Szczepionek BIOMED Sp. z o. o., ul. Che³mska 30/34,
00-725 Warszawa, Polsko"
0231842;25.09.2023;30.09.2027;24;Léèba symptomatického botulismu po prokázané nebo pøedpokládané expozici botulinového neurotoxinu sérotypu A, B, C, D, E, F nebo G u dospìlıch a dìtí.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHARMOS, a.s., Tìšínská 1349/296, Radvanice, 716 00 Ostrava;24 balení (platí pro velikost balení 1X20ML nebo 1X50ML dohromady);Všeobecná fakultní nemocnice v Praze, U nemocnice 2, 128 08 Praha 2;Emergent BioSolutions Canada Inc., 155 Innovation Drive, Winnipeg, Manitoba, Kanada
0231843;25.09.2023;30.09.2027;24;Léèba symptomatického botulismu po prokázané nebo pøedpokládané expozici botulinového neurotoxinu sérotypu A, B, C, D, E, F nebo G u dospìlıch a dìtí.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHARMOS, a.s., Tìšínská 1349/296, Radvanice, 716 00 Ostrava;24 balení (platí pro velikost balení 1X20ML nebo 1X50ML dohromady);Všeobecná fakultní nemocnice v Praze, U nemocnice 2, 128 08 Praha 2;Emergent BioSolutions Canada Inc., 155 Innovation Drive, Winnipeg, Manitoba, Kanada
0231976;06.03.2025;28.02.2027;3000;Zajištìní léèivého pøípravku s léèivou látkou pyrazinamid k léèbì aktivní tuberkulózy vyvolané Mycobacterium tuberculosis (v kombinaci s dalšími antituberkulotiky), a to pro léèbu pacientù od 3 mìsícù vìku. Pyrazinamid se smí pouívat pouze v kombinaci s dalšími léèivımi pøípravky (isoniazidem, rifampicinem, ethambutolem), které pùsobí na bakterii Mycobacterium tuberculosis. Pokud se pyrazinamid pouívá samostatnì, rychle dochází k rozvoji rezistence (bìhem 6 a 8 tıdnù). Pyrazinamid není aktivní proti atypickım mykobakteriím.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4.;;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4.;KRKA, d.d., Šmarješka cesta 6, 8501 Novo mesto, Slovinsko
0231977;02.01.2025;31.12.2026;300;Zajištìní léèivého pøípravku pro neinvazivní vèasnou diagnostiku transthyretinové srdeèní amyloidózy (hereditární èi senilní) metodami nukleární medicíny.;Pracovištì (oddìlení) nukleární medicíny poskytovatelù zdravotních slueb formou ambulantní nebo lùkové péèe.;KC SOLID, spol. s r.o., ul. Míru 16, 337 01 Rokycany;;KC SOLID, spol. s r.o., ul. Míru 16, 337 01 Rokycany;"CIS bio international, RN 306 ? Saclay, BP 32, F-91192, GIF-SUR-YVETTE
Cedex, Francie"
0231978;25.09.2023;30.09.2027;64;Léèba symptomatického botulismu po prokázané nebo pøedpokládané expozici botulinového neurotoxinu sérotypu A, B a E u dospìlıch a dìtí.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U nemocnice 2, 128 08 Praha 2;"Wytwórnia Surowic i Szczepionek BIOMED Sp. z o. o., ul. Che³mska 30/34,
00-725 Warszawa, Polsko"
0232059;05.01.2026;31.12.2028;19800;Zajištìní léèivého pøípravku s léèivou látkou selegilin-hydrochlorid pro léèbu Parkinsonovy nemoci nebo symptomatického parkinsonismu u dospìlıch pacientù.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;Movianto Èeská republika s.r.o., Podolí 78e, 664 03 Podolí;;Medochemie Bohemia, spol. s r.o., Vyskoèilova 1566, Michle, 140 00 Praha 4;MEDOCHEMIE LTD, 1-10 Constantinoupoleos Street, 3011 Limassol, Kypr
0232467;28.03.2023;30.11.2026;507;Zabezpeèení zásoby antidot pro léèbu osob kontaminovanıch radionuklidy v rámci Støedisek speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP) a v jinıch zdravotnickıch zaøízeních v Èeské republice a zabezpeèení antidot pro léèbu intoxikací tìkımi kovy pro zdravotnická zaøízení v Èeské republice.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe a Støediska speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP). Koordinaci léèebného programu zabezpeèuje Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;"Ever Pharma Jena GmbH, Otto-Schott-Straße 15, 07745 Jena, Nìmecko;
IL-CSM Clinical Supplies Management GmbH Marie-Curie-Str. 8, 79539 Lörrach, Nìmecko"
0232468;01.01.2026;31.12.2028;9;Zabezpeèení léèivého pøípravku v rámci traumatologického plánu Jaderné elektrárny Temelín k léèbì intoxikace radionuklidy (americium, plutonium, curium, kalifornium, berkelium) v pøípadì radiaèní mimoøádné události. Moné pouití k léèbì intoxikace radionuklidy tìkıch kovù ? transurany, izotopy olova, eleza, zinku, manganu, chromu.;Ordinace všeobecného praktického lékaøe, MUDr. Koèvara Pavel, Bøezí u Tına nad Vltavou 71, 373 05 Temelín.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;MUDr. Pavel Koèvara, Bøezí u Tına nad Vltavou 71, 373 05 Temelín;IL-CSM Clinical Supplies Management GmBH, Marie-Curie-Str. 8, 79539 Lörrach, Nìmecko
0232468;20.02.2024;31.01.2027;15;Léèba intoxikace transuranovımi radionuklidy (americium, plutonium, curium, kalifornium, berkelium). Moné pouití k léèbì intoxikace radionuklidy tìkıch kovù - izotopy olova, eleza, zinku, manganu, chromu.;Dümed s.r.o. (ordinace všeobecného praktického lékaøe), Dukovany 269, 675 50 Dukovany;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Dümed s.r.o.,Sadová 423, 675 55 Hrotovice;"Ever Pharma Jena GmbH Otto-Schott-Straße 15, 07745 Jena Nìmecko;
IL-CSM Clinical Supplies Management GmBH, Marie-Curie-Str. 8, 79539 Lörrach, Nìmecko"
0232468;28.03.2023;30.11.2026;400;Zabezpeèení zásoby antidot pro léèbu osob kontaminovanıch radionuklidy v rámci Støedisek speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP) a v jinıch zdravotnickıch zaøízeních v Èeské republice a zabezpeèení antidot pro léèbu intoxikací tìkımi kovy pro zdravotnická zaøízení v Èeské republice.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe a Støediska speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP). Koordinaci léèebného programu zabezpeèuje Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;"Ever Pharma Jena GmbH, Otto-Schott-Straße 15, 07745 Jena, Nìmecko;
IL-CSM Clinical Supplies Management GmbH Marie-Curie-Str. 8, 79539 Lörrach, Nìmecko"
0232469;19.08.2025;31.07.2029;80;Zabezpeèení zásoby antidota pro léèbu osob kontaminovanıch radionuklidy v rámci Støedisek speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP) a v jinıch zdravotnickıch zaøízeních v Èeské republice a zabezpeèení léèivého pøípravku pro léèbu v souladu se souhrnem údajù o pøípravku pro potøebu zdravotnickıch zaøízení v Èeské republice.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe a Støediska speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP). Koordinaci léèebného programu zabezpeèuje Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U nemocnice 2/499, 128 08 Praha 2;MoNo chem-pharm Produkte GmbH, Leystraße 129, 1200 Wien, Rakousko
0232469;20.02.2024;31.01.2027;9;V pøípadì radiaèní nehody jako antidotum pøi intoxikaci radioaktivním jódem pøi alergii na jód.;Dümed s.r.o. (ordinace všeobecného praktického lékaøe), Dukovany 269, 675 50 Dukovany.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Dümed s.r.o., Sadová 423, 675 55 Hrotovice;"KVP Pharma + Veterinär Produkte GmbH, Projensdorfer Str. 324, 24106 Kiel, Nìmecko; 
MoNo chem-pharm Produkte GmbH, Leystraße 129, 1200 Wien, Rakousko"
0232469;28.03.2023;30.11.2026;78;Zabezpeèení zásoby antidot pro léèbu osob kontaminovanıch radionuklidy v rámci Støedisek speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP) a v jinıch zdravotnickıch zaøízeních v Èeské republice a zabezpeèení antidot pro léèbu intoxikací tìkımi kovy pro zdravotnická zaøízení v Èeské republice.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe a Støediska speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP). Koordinaci léèebného programu zabezpeèuje Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;KVP Pharma + Veterinär Produkte GmbH, Projensdorfer Str. 324, 24106 Kiel, Nìmecko
0232470;28.03.2023;30.11.2026;400;Zabezpeèení zásoby antidot pro léèbu osob kontaminovanıch radionuklidy v rámci Støedisek speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP) a v jinıch zdravotnickıch zaøízeních v Èeské republice a zabezpeèení antidot pro léèbu intoxikací tìkımi kovy pro zdravotnická zaøízení v Èeské republice.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe a Støediska speciální zdravotní péèe o osoby ozáøené pøi radiaèních nehodách (SSZP). Koordinaci léèebného programu zabezpeèuje Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX lékárenskı velkoobchod, s.r.o., K pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, se sídlem U Nemocnice 499/2, 128 08 Praha 2;"Ever Pharma Jena GmbH Otto-Schott-Straße 15, 07745 Jena Nìmecko;
IL-CSM Clinical Supplies Management GmBH, Marie-Curie-Str. 8, 79539 Lörrach, Nìmecko"
0232589;04.11.2024;31.10.2027;24000;"Zajištìní léèivého pøípravku s léèivou látkou kolestyramin pro léèbu dospìlıch a dìtskıch pacientù (muù i en) v následujících terapeutickıch indikacích:
- kombinovaná léèba s inhibitorem HMG-CoA-reduktázy (statin) jako adjuvantní léèba k dietì pro dosaení aditivního sníení hladiny LDL cholesterolu u pacientù s primární hypercholesterolémií, u kterıch není moná dostateèná kontrola pouze se statinem,
-monoterapeutická léèba jako adjuvantní léèba k dietì pro sníení zvıšeného celkového a LDL cholesterolu u pacientù s izolovanou primární hypercholesterolémií, kteøí pociují statin jako nepøíjemnı nebo ho dobøe nesnášejí,
-chologenní diarrhea,
-pruritus nebo ikterus u parciální neprùchodnosti luèovıch cest.";Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4, Èeská republika;;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4, Èeská republika;Agraria Pharma GmbH, Kesselsdorfer Strasse 116, 011 59 Dresden, Nìmecko
0232603;18.12.2020;31.05.2026;6000;Léèba onemocnìní periferní arteriální cirkulace (makro- a mikrocirkulace) zpùsobené arteriosklerózou, diabetem a vaskulárními køeèemi (claudicatio intermittens, diabetická makro- a mikroangiopatie, Reynaldùv syndrom).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;CZ Pharma s.r.o., se sídlem námìstí Smiøickıch 42, 281 63 Kostelec nad Èernımi lesy;Léèivı pøípravek je moné distribuovat do 31. 5. 2021. Léèivı pøípravek dodanı do lékáren je moné vydávat a pouívat pøi poskytování zdravotních slueb po dobu jeho pouitelnosti.;CZ Pharma s.r.o., se sídlem námìstí Smiøickıch 42, 281 63 Kostelec nad Èernımi lesy;KRKA d.d., Novo mesto, Šmarješka cesta 6, 8501, Novo mesto, Slovinsko
0232605;31.03.2025;31.03.2027;1000;Léèba hypotenze bìhem celkové anestezie a lokoregionální anestezie, a ji páteøní nebo epidurální, pøi chirurgickıch nebo porodnickıch vıkonech. Preventivní léèba hypotenze pøi spinální anestezii pøi chirurgickıch nebo porodnickıch vıkonech. Léèivı pøípravek je urèen pro dospìlé pacienty.;Poskytovatelé zdravotních slueb formou lùkové a jednodenní péèe.;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26 Kosoø, Èeská republika;;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26 Kosoø, Èeská republika;Laboratoire Aguettant, Lieu Dit Chantecaille, 07340 Champagne, Francie
0232608;01.03.2026;28.02.2029;3000;Zajištìní léèivého pøípravku obsahujícího sodnou sùl fluoresceinu pro diagnostické úèely u dospìlıch pacientù, zejména pøi fluorescenèní angiografii oèního pozadí. Ve vıjimeènıch pøípadech lze pøípravek pouít pøi fluorometrii sklivce nebo fluorometrii nitrooèní tekutiny.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe.;AV Medical CZ s.r.o., Dobronická 1257, 148 00 Praha 4 - Kunratice, Èeská republika;;AV Medical CZ s.r.o., Dobronická 1257, 148 00 Praha 4 - Kunratice, Èeská republika;SERB SAS, 40 Avenue George V, 75008 Paris, Francie
0232610;31.10.2025;31.10.2027;140;"Zajištìní léèivého pøípravku s obsahem léèivé látky cidofovirum v lékové formì pro intravenózní podání. Léèivı pøípravek je urèen k pouití v následujících indikacích:
Indikace v souladu s platnım souhrnem údajù o pøípravku:
- léèba cytomegalovirové retinitidy u dospìlıch se syndromem získané imunodeficience (AIDS) a bez renální dysfunkce.
Indikace dle doporuèení (guidelines) European Conference on Infections in Leukaemia:
- léèba závanıch cytomegalovirovıch infekcí u dospìlıch, v pøípadech selhání standardní léèby (ganciclovir, foscarnet, intravenózní imunoglobuliny (IVIG), kombinace ganciclovir + foscarnet) u pacientù s hematologickou malignitou a po transplantaci hematopoetickıch bunìk v druhé nebo tøetí linii léèby (Guidelines for the management of cytomegalovirus infection in patients with haematological malignancies and after stem cell trasplantation from the 2017 European Conference on Infections in Leukaemia - ECIL 7 Recommendations from the 10th European Conference on Infections in Leukaemia for the management of cytomegalovirus in patients after allogeneic haematopoietic cell transplantation and other T-cell-engaging therapies - ECIL 10);
-léèba závanıch adenovirovıch infekcí a infekcí BK virem u dospìlıch pacientù s hemoragickou cystitidou u hematologickıch pacientù po transplantaci hematopoetickıch bunìk (Guidelines for the treatment of invasive candidiasis, aspergillosis and mucormycosis in leukemia and hematopoietic stem cell transplant patients - ECIL 6);
-léèba rezistentních cytomegalovirovıch a adenovirovıch infekcí u dìtí do 18 let vìku, a to pouze v pøípadech selhání léèby ganciklovirem nebo foskarnetem, kdy nelze pouít jinou léèbu.";Poskytovatelé zdravotních slueb formou lùkové péèe v oboru klinické onkologie, dìtské onkologie a hematologie, radiaèní onkologie a onkogynekologie, specializovaná pracovištì - transplantaèní centrum, infekèní lékaøství, hematologie a transfuzní lékaøství.;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26 Kosoø, Èeská republika;;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26 Kosoø, Èeská republika;"TILLOMED MALTA LIMITED, MALTA LIFE SCIENCES PARK, INDUSTRIAL ESTATE LS2.01.06, SAN GWANN, SGN 3000 Malta; MIAS Pharma Limited, Suite 2, Stafford House, Strand Road, Portmarnock, Co. Dublin, Irsko"
0232615;01.03.2025;28.02.2027;5400;Léèivı pøípravek je urèen vıhradnì pro dospìlé pacienty k léèbì silné bolesti, kterou nelze ovlivnit jinımi registrovanımi léèivımi pøípravky (jako je bolest v terminálním stádiu malignity). Léèivı pøípravek není v rámci tohoto specifického léèebného programu urèen k léèbì abstinenèního syndromu v dùsledku závislosti na opioidech ani k substituèní léèbì závislosti na opioidech.;Poskytovatelé zdravotních slueb formou lùkové a ambulantní péèe. Pøípravek je oprávnìn pøedepisovat pouze lékaø se specializovanou zpùsobilostí v oboru klinická onkologie, radiaèní onkologie, onkogynekologie, hematologie, algeziologie, paliativní medicína.;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26 Kosoø.;;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26 Kosoø.;Alkaloid-INT d.o.o., Šlandrova ulica 4, 1231 Ljubljana - Èrnuèe, Slovinsko
0232616;28.02.2025;31.03.2027;40000;"Léèivı pøípravek FLUCLOXACILINA AZEVEDOS je indikován k perorální léèbì infekcí zpùsobenıch citlivımi mikroorganismy, zejména kmeny Streptococcus a Staphylococcus pøi pøedpokládané, nebo potvrzené citlivosti na flukloxacilin, a to v následujících pøípadech:
-infekce kùe (napø. furunkl, karbunkl, absces, impetigo);
-infekce subkutánní mìkké tkánì (napø. celulitida, lymfatická tkáò);
-infekce traumatické, chirurgické a na místì popálenin;
-infekce kostí (napø. artritida, osteitida, osteomyelitida);
-infekce zevního ucha (otitis externa);
-infekce dolních cest dıchacích (napø. plicní absces, pneumonie, bronchopneumonie);
-infekce horních cest dıchacích (napø. angína, zánìt vedlejších nosních dutin, faryngitida);
-empyém (jako souèást kombinovaného reimu ve spojení s drenáemi);
-meningitida (napø. stafylokoková meningitida);
-infekce moèového a pohlavního ústrojí;
-infekce tenkého a tlustého støeva.
Dále je léèivı pøípravek FLUCLOXACILINA AZEVEDOS indikován k profylaxi v kardiovaskulární chirurgii (napø. chlopenní náhrady) a ortopedické chirurgii (artroplastika, osteosyntéza a artrotomie) vzhledem k vıraznému patogennímu potenciálu stafylokokù v prùbìhu tìchto chirurgickıch vıkonù. Neregistrovanı léèivı pøípravek FLUCLOXACILINA AZEVEDOS je úèinnı pøi léèbì infekcí zpùsobenıch beta-hemolytickımi streptokoky skupiny A (napø. tonsilitida, erysipel, infikované popáleniny), pøièem lékem první volby je penicilin (G nebo V). Flukloxacilin není indikován k prevenci revmatické horeèky.";poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26 Kosoø;;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26 Kosoø;DLA-Farmaceutica, S.A. Estrada da Quinta 148 Manique de Baixo, 2646?436 Alcabideche, Portugalsko
0232622;28.06.2024;30.06.2028;120;Zajištìní pohotovostní zásoby léèivého pøípravku s léèivou látkou miltefosin pro léèbu viscerální leishmaniózy zpùsobené Leishmania donovani a léèbu koní leishmaniózy zpùsobené Leishmania brasiliensis komplex nebo Leishmania mexicana komplex. V pøípadì léèby viscerální leishmaniózy lze pøípravek IMPAVIDO 50 MG podávat ji od 3 let vìku resp. od tìlesné hmotnosti 9 kg. V pøípadì léèby koní leishmaniózy lze pøípravek IMPAVIDO 50 MG podávat od 12 let vìku resp. od tìlesné hmotnosti 30 kg.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe - koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX, lékárenskı velkoobchod s.r.o., K Pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2;Paesel + Lorei GmbH & Co. KG, Nordring 11, 47495 Rheinberg, Nìmecko
0232623;28.06.2024;30.06.2028;100;Zajištìní pohotovostní zásoby léèivého pøípravku s léèivou látkou isoniazid pro léèbu všech forem a stádií tuberkulózy s citlivostí na isoniazid, vdy v kombinaci s jinımi antimykobakteriálními chemoterapeutiky. Pøípravek ISOZID 0,5N je pouíván k léèbì tuberkulózy u pacientù, kteøí nemohou pøijímat perorální formy léèiva nebo u kterıch je narušeno vstøebávání z GIT. Pøípravek ISOZID 0,5N se pouívá k profylaxi tuberkulózy u neinfikovanıch tuberkulin negativních exponovanıch osob. Pøípravek ISOZID 0,5N lze pouít u dìtí, dospívajících a dospìlıch.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe - koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX, lékárenskı velkoobchod s.r.o., K Pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2;RIEMSER Pharma GmbH, An der Wiek 7,17493 Greifswald - Insel Riems, Nìmecko
0232624;28.06.2024;30.06.2028;120;Zajištìní pohotovostní zásoby léèivého pøípravku s léèivou látkou flucytosin pro léèbu závanıch systémovıch mykóz zpùsobenıch citlivımi patogeny, jako jsou zejména kandidózy, kryptokokózy, chromomykózy (chromoblastomykózy) a nìkteré formy aspergilóz. Pøípravek ANCOTIL 500 MG nesmí bıt pouíván jako léèba první volby nebo jako monoterapie u dìtí. Pøípravek ANCOTIL 500 MG musí bıt uíván v kombinaci s dalšími vhodnımi antimykotiky, pokud jiná léèiva nejsou k dispozici nebo nebudou pravdìpodobnì úèinná. Z dùvodu prodlouené eliminace flucytosinu u dìtskıch pacientù, zvláštì u novorozencù a pøedèasnì narozenıch dìtí, mùe vést podávání flucytosinu k pøekroèení optimálních hladin v séru. Bìhem léèby dìtskıch pacientù musí bıt proto pravidelnì kontrolován krevní obraz a renální funkce, aby byla sledována koncentrace a clearance kreatininu.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe - koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX, lékárenskı velkoobchod s.r.o., K Pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2;ICN Polfa Rzeszów SA, Przemys³owa 2, 35-959 Rzeszów, Polsko
0232625;25.08.2023;31.08.2026;2100;Devitalizace zubní døenì, v pøípadech kdy ze zvláštních dùvodù nelze provést chirurgicko-endodontickı zákrok (napø. vitální exstirpaci) pro pacienty bez omezení vìku.;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe v oboru stomatologie.;Nora a.s., Na Kampì 496/4, 118 00 Praha 1;;Nora a.s., Na Kampì 496/4, 118 00 Praha 1;Lege artis Pharma GmbH + Co. KG, Breitwasenring 1, D-72135 Dettenhausen, Nìmecko
0232626;28.06.2024;30.06.2028;200;Zajištìní pohotovostní zásoby léèivého pøípravku s léèivou látkou artesunát pro nouzovou léèbu závané nebo komplikované malárie zpùsobené Plasmodium falciparum nebo Plasmodium vivax.;Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe - koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze.;PHOENIX, lékárenskı velkoobchod s.r.o., K Pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2;Guilin Pharmaceutical Co., Ltd. China
0232630;20.08.2024;31.08.2028;100;"Zajištìní pohotovostní zásoby léèivého pøípravku s léèivou látkou fomepizol pro léèbu akutní otravy ethylenglykolem (indikace v souladu se souhrnem údajù o pøípravku), akutní otravy methanolem (indikace v souladu s Odbornım doporuèením pro intoxikaci - Metanol (Methanol, Metylalkohol, døevnı líh, CH3OH) zveøejnìném na webovıch stránkách Toxikologického informaèního støediska Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze; www.tis-cz.cz).";Poskytovatelé zdravotních slueb formou ambulantní nebo lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze);PHOENIX, lékárenskı velkoobchod s.r.o., K Pérovnì 945/7, Hostivaø, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2;Etablissement Pharmaceutique de l'AP-HP, (Assistance Publique-Hôpitaux de Paris) AGEPS 7, rue du Fer a Moulin - BP 09, 75221 PARIS Cedex 05, Francie nebo CENEXI, 52 rue Marcel et Jacques Gaucher, 94120 Fontenay-sous-Bois, Francie
0232636;17.02.2023;30.04.2026;330;Zabezpeèení léèivého pøípravku s léèivou látkou cykloserin k léèbì aktivní plicní a mimoplicní tuberkulózy zpùsobené citlivımi mikroorganismy, po selhání antituberkulotické terapie první volby (streptomycin, isoniazid, rifampicin, ethambutol), v kombinaci s dalšími chemoterapeutickımi pøípravky. V rámci léèebného programu bude rovnì v Toxikologickém informaèním støedisku Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze deponována pohotovostní zásoba léèivého pøípravku.;"Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe. 
Balení pro pohotovostní zásobu budou deponována v Toxikologickém informaèním støedisku Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze, které je na vyádání, po konzultaci o stanovení léèebného postupu, poskytne pøíslušnému pracovišti k pouití.";ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26, Kosoø;;ARDEZ Pharma, spol. s r.o., V Borovièkách 278, 252 26, Kosoø;Antibiotice SA, Str. Valea Lupului nr. 1, 707410 Iaºi, Rumunsko
0232636;07.04.2021;30.04.2026;50;Zajištìní pohotovostní zásoby léèivého pøípravku pro léèbu pacientù s tuberkulózou jakékoli lokalizace zpùsobené kmenem Mycobacterium tuberculosis rezistentním nejménì na dvì základní antituberkulotika (isoniazid, rifampicin).;Poskytovatelé zdravotních slueb formou ambulantní a lùkové péèe (koordinace léèebného programu: Toxikologické informaèní støedisko Kliniky pracovního lékaøství Všeobecné fakultní nemocnice v Praze).;ARDEZ Pharma, spol. s r.o., Kosoø, V Borovièkách 278, okres Praha-západ;;Všeobecná fakultní nemocnice v Praze, prostøednictvím Toxikologického informaèního støediska Kliniky pracovního lékaøství;Antibiotice SA, Str. Valea Lupului nr. 1, 707410 Iaºi, Rumunsko
